title,url,score,analysis
"Zappier: Sr. Engineer, Frontend (UX Eng)",https://weworkremotely.com/remote-jobs/zappier-sr-engineer-frontend-ux-eng,60,"La oferta de trabajo en Zapier como Sr. Engineer, Frontend (UX Eng) no coincide perfectamente con el perfil de Mateo Dumas, ya que se centra más en UX y no menciona explícitamente tecnologías como Next.js, NestJS, PostgreSQL, Docker o AWS que son parte de su stack. Sin embargo, la oportunidad de trabajar en un entorno de automatización y AI podría ser interesante, y la ubicación remota es una ventaja."﻿title,url,score,analysis
ClickHouse: Core Software Engineer (C++) - Remote,https://weworkremotely.com/remote-jobs/clickhouse-core-software-engineer-c-remote,20,"La oferta es para un ingeniero de software en C++, mientras que Mateo Dumas es un Desarrollador Full Stack con experiencia en MERN, Next.js, TypeScript, Docker y AWS. Aunque la empresa tiene un producto innovador y una misión interesante, la tecnología utilizada no coincide con la experiencia de Mateo."﻿title,url,score,analysis
fonio: Senior Software Engineer,https://weworkremotely.com/remote-jobs/fonio-senior-software-engineer,80,"La oferta coincide con el stack de Mateo Dumas en NestJS, React y TypeScript, y menciona la posibilidad de trabajar de manera remota, lo que se ajusta a su preferencia. Además, la empresa parece valorar la escalabilidad y la innovación, lo que se alinea con sus intereses. Sin embargo, no se menciona específicamente el uso de microservicios o tiempo real (WebSockets), y la ubicación de la sede en Viena, Austria, puede requerir ajustes en el horario de trabajo."﻿title,url,score,analysis
Stellar AI: Senior Software Engineer,https://weworkremotely.com/remote-jobs/stellar-ai-senior-software-engineer,60,"La oferta es compatible con el perfil de Mateo Dumas en cuanto a tecnologías como JavaScript y la posibilidad de trabajar de forma remota. Sin embargo, el enfoque en investigación de AI y el uso de lenguajes como Go, C++, Ruby puede no alinearse con los intereses y habilidades específicas de Mateo en áreas como microservicios, tiempo real y escalabilidad, Además, la ubicación de la empresa en Londres y la falta de mención a tecnologías como React, Next.js, Node.js, NestJS, TypeScript, PostgreSQL, Docker y AWS reduce la compatibilidad."﻿title,url,score,analysis
Close: Senior Software Engineer - Backend/Python - USA Only (100% Remote),https://weworkremotely.com/remote-jobs/close-senior-software-engineer-backend-python-usa-only-100-remote-1,40,"No se ajusta al perfil de Mateo Dumas debido a que la oferta requiere experiencia en Python, mientras que su experiencia es en tecnologías como React, Next.js, Node.js y TypeScript. Aunque se menciona PostgreSQL y AWS, que están dentro de su stack, la ubicación y la tecnología principal (Python) no coinciden con su perfil."﻿title,url,score,analysis
SuperPlane Inc.: Applied AI Engineer ,https://weworkremotely.com/remote-jobs/superplane-inc-applied-ai-engineer,40,"La oferta no requiere experiencia en el stack de Mateo Dumas (React, Next.js, Node.js, NestJS, TypeScript, PostgreSQL, Docker, AWS) y se enfoca en AI y DevOps, que no son sus intereses principales, aunque sí menciona escalabilidad y sistemas complejos, que podrían estar relacionados con sus intereses en microservicios y tiempo real."﻿title,url,score,analysis
SerpNames: Passionate Full-Stack Engineer (SEO-Focused Company),https://weworkremotely.com/remote-jobs/serpnames-passionate-full-stack-engineer-seo-focused-company,60,"La oferta de SerpNames se ajusta parcialmente al perfil de Mateo Dumas, ya que busca un ingeniero full-stack con experiencia en desarrollo de aplicaciones y APIs. Sin embargo, no menciona específicamente el uso de tecnologías como React, Next.js, NestJS, TypeScript, PostgreSQL o Docker, lo que reduce la compatibilidad. Además, se requiere experiencia con VPS hosting y Cloudflare, que no son parte del stack principal de Mateo. La ubicación es en EE. UU., lo que podría ser un problema si Mateo prefiere trabajar en Buenos Aires o de forma remota sin restricciones geográficas."﻿title,url,score,analysis
Proton.ai: Senior Backend Engineer,https://weworkremotely.com/remote-jobs/proton-ai-senior-backend-engineer,60,"Aunque la oferta requiere habilidades de backend que se ajustan al perfil de Mateo, la ubicación en Cambridge, MA y la ausencia de mención a tecnologías específicas como React, Next.js o microservicios son factores que reducen la compatibilidad"﻿title,url,score,analysis
"OnTheGoSystems: PHP Developer (Spanish, French or German speakers)",https://weworkremotely.com/remote-jobs/onthegosystems-php-developer-spanish-french-or-german-speakers,0,"La oferta no coincide con el perfil de Mateo Dumas, ya que busca un desarrollador PHP y no utiliza tecnologías como React, Next.js, Node.js, NestJS, TypeScript, PostgreSQL, Docker, AWS. Además, no menciona microservicios, tiempo real ni escalabilidad."﻿title,url,score,analysis
Lemon.io: Senior Python & LLM /AI Engineer,https://weworkremotely.com/remote-jobs/lemon-io-senior-python-llm-ai-engineer,10,"La oferta no coincide con el perfil de Mateo Dumas, ya que la posición es para un ingeniero Python y LLM/AI, mientras que su perfil se centra en Desarrollo Full Stack con tecnologías como React, Next.js, Node.js, NestJS, TypeScript, PostgreSQL, Docker y AWS."